variant,model,accuracy,precision,recall,f1
1day_strict,Baseline: Majority Class,0.5289256198347108,0.5289256198347108,1.0,0.6918918918918919
1day_strict,Baseline: Persistence,0.5165289256198347,0.5426356589147286,0.546875,0.5447470817120622
1day_strict,Logistic Regression - RAW price features,0.4669421487603306,0.42857142857142855,0.0234375,0.044444444444444446
1day_strict,Logistic Regression - ENGINEERED features,0.45454545454545453,0.47619047619047616,0.3125,0.37735849056603776
1day_strict,Logistic Regression - ENGINEERED features,0.45454545454545453,0.47619047619047616,0.3125,0.37735849056603776
1day_strict,Random Forest - ENGINEERED features,0.5206611570247934,0.5379746835443038,0.6640625,0.5944055944055944
1day_strict,Gradient Boosting - ENGINEERED features,0.5082644628099173,0.5354330708661418,0.53125,0.5333333333333333
1day_deadzone,Baseline: Majority Class,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333333
1day_deadzone,Baseline: Persistence,0.5578947368421052,0.6181818181818182,0.6181818181818182,0.6181818181818182
1day_deadzone,Logistic Regression - RAW price features,0.631578947368421,0.6724137931034483,0.7090909090909091,0.6902654867256637
1day_deadzone,Logistic Regression - ENGINEERED features,0.5789473684210527,0.6153846153846154,0.7272727272727273,0.6666666666666666
1day_deadzone,Logistic Regression - ENGINEERED features,0.5789473684210527,0.6153846153846154,0.7272727272727273,0.6666666666666666
1day_deadzone,Random Forest - ENGINEERED features,0.5789473684210527,0.5789473684210527,1.0,0.7333333333333333
1day_deadzone,Gradient Boosting - ENGINEERED features,0.5473684210526316,0.5769230769230769,0.8181818181818182,0.6766917293233082
5day_strict,Baseline: Majority Class,0.5950413223140496,0.5950413223140496,1.0,0.7461139896373057
5day_strict,Baseline: Persistence,0.8347107438016529,0.8611111111111112,0.8611111111111112,0.8611111111111112
5day_strict,Logistic Regression - RAW price features,0.5165289256198347,0.6666666666666666,0.375,0.48
5day_strict,Logistic Regression - ENGINEERED features,0.4834710743801653,0.5542857142857143,0.6736111111111112,0.6081504702194357
5day_strict,Logistic Regression - ENGINEERED features,0.4834710743801653,0.5542857142857143,0.6736111111111112,0.6081504702194357
5day_strict,Random Forest - ENGINEERED features,0.5991735537190083,0.5975103734439834,1.0,0.7480519480519481
5day_strict,Gradient Boosting - ENGINEERED features,0.6239669421487604,0.6244131455399061,0.9236111111111112,0.7450980392156863
5day_nonoverlap,Baseline: Majority Class,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273
5day_nonoverlap,Baseline: Persistence,0.5714285714285714,0.6296296296296297,0.6071428571428571,0.6181818181818182
5day_nonoverlap,Logistic Regression - RAW price features,0.5306122448979592,1.0,0.17857142857142858,0.30303030303030304
5day_nonoverlap,Logistic Regression - ENGINEERED features,0.5918367346938775,0.6176470588235294,0.75,0.6774193548387096
5day_nonoverlap,Logistic Regression - ENGINEERED features,0.5918367346938775,0.6176470588235294,0.75,0.6774193548387096
5day_nonoverlap,Random Forest - ENGINEERED features,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273
5day_nonoverlap,Gradient Boosting - ENGINEERED features,0.4897959183673469,0.5652173913043478,0.4642857142857143,0.5098039215686274
