Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,54.650001525878906,55.93000030517578,54.619998931884766,55.369998931884766,46.4680061340332,22052300
2021-09-14,55.689998626708984,55.77000045776367,54.40999984741211,54.58000183105469,45.805015563964844,19940300
2021-09-15,55.369998931884766,56.529998779296875,55.310001373291016,56.41999816894531,47.34919357299805,23240900
2021-09-16,56.459999084472656,56.459999084472656,55.5,55.81999969482422,46.84566116333008,17907200
2021-09-17,55.34000015258789,56.75,55.099998474121094,55.15999984741211,46.29176712036133,30000400
2021-09-20,53.779998779296875,54.16999816894531,52.959999084472656,53.689998626708984,45.05810546875,27555100
2021-09-21,54.369998931884766,54.5099983215332,53.25,53.63999938964844,45.01614761352539,19696800
2021-09-22,54.43000030517578,55.90999984741211,54.369998931884766,55.209999084472656,46.333736419677734,25690600
2021-09-23,55.41999816894531,57.2400016784668,55.279998779296875,57.08000183105469,47.9030876159668,23069400
2021-09-24,56.70000076293945,57.81999969482422,56.68000030517578,57.59000015258789,48.33108901977539,22328600
2021-09-27,58.849998474121094,59.79999923706055,58.81999969482422,59.29999923706055,49.766170501708984,32972200
2021-09-28,59.900001525878906,60.47999954223633,59.5099983215332,59.91999816894531,50.28649139404297,37619300
2021-09-29,59.84000015258789,60.189998626708984,59.04999923706055,59.880001068115234,50.25292205810547,23422800
2021-09-30,60.119998931884766,60.16999816894531,58.810001373291016,58.81999969482422,49.36334228515625,31289600
2021-10-01,59.40999984741211,60.9900016784668,59.40999984741211,60.93000030517578,51.13410949707031,24407300
2021-10-04,61.31999969482422,62.06999969482422,60.95000076293945,61.720001220703125,51.797096252441406,33946700
2021-10-05,62.52000045776367,62.70000076293945,61.02000045776367,61.619998931884766,51.71318435668945,29641600
2021-10-06,60.470001220703125,61.119998931884766,59.75,60.4900016784668,50.76485824584961,25284900
2021-10-07,60.61000061035156,61.08000183105469,60.13999938964844,60.65999984741211,50.90752029418945,19513600
2021-10-08,61.25,62.41999816894531,61.25,62.18000030517578,52.18314743041992,22186900
2021-10-11,63.029998779296875,63.060001373291016,61.5,61.560001373291016,51.6628303527832,22121500
2021-10-12,61.56999969482422,61.97999954223633,60.849998474121094,61.2400016784668,51.39426803588867,20198600
2021-10-13,60.779998779296875,61.38999938964844,60.209999084472656,61.06999969482422,51.25159454345703,14991700
2021-10-14,61.709999084472656,62.220001220703125,61.16999816894531,62.0,52.03208541870117,18594500
2021-10-15,62.72999954223633,63.06999969482422,62.439998626708984,62.59000015258789,52.5272216796875,16092600
2021-10-18,63.09000015258789,63.13999938964844,62.27000045776367,62.560001373291016,52.50205612182617,18282800
2021-10-19,62.869998931884766,63.61000061035156,62.66999816894531,63.5,53.29092025756836,18933200
2021-10-20,62.88999938964844,63.869998931884766,62.720001220703125,63.849998474121094,53.58465576171875,14305200
2021-10-21,63.470001220703125,63.63999938964844,62.349998474121094,62.689998626708984,52.611148834228516,16564600
2021-10-22,62.77000045776367,63.220001220703125,62.349998474121094,63.119998931884766,52.972007751464844,14266800
2021-10-25,63.720001220703125,64.41999816894531,63.58000183105469,64.3499984741211,54.0042724609375,17939800
2021-10-26,64.48999786376953,65.94000244140625,64.36000061035156,65.83999633789062,55.25471115112305,25585100
2021-10-27,65.16000366210938,65.25,63.97999954223633,64.12999725341797,53.81963348388672,21764500
2021-10-28,63.81999969482422,64.47000122070312,63.630001068115234,64.30999755859375,53.97069549560547,16626400
2021-10-29,65.05000305175781,65.36000061035156,64.33000183105469,64.47000122070312,54.10497283935547,23966300
2021-11-01,65.06999969482422,66.08000183105469,65.0199966430664,65.62999725341797,55.07847595214844,19656400
2021-11-02,65.02999877929688,65.44999694824219,64.66000366210938,64.81999969482422,54.39870834350586,16300000
2021-11-03,64.04000091552734,64.44999694824219,63.65999984741211,63.93000030517578,53.651790618896484,17372800
2021-11-04,64.68000030517578,64.88999938964844,63.83000183105469,64.41000366210938,54.054622650146484,17720100
2021-11-05,65.05000305175781,65.33000183105469,64.55999755859375,65.0199966430664,54.566551208496094,18565100
2021-11-08,65.55000305175781,66.37999725341797,65.37999725341797,65.72000122070312,55.15401077270508,17696000
2021-11-09,65.7699966430664,66.37000274658203,65.30999755859375,66.36000061035156,55.69111633300781,18781300
2021-11-10,65.31999969482422,65.6500015258789,63.77000045776367,64.19000244140625,54.59395980834961,20177200
2021-11-11,64.19000244140625,64.83000183105469,64.0199966430664,64.30999755859375,54.696022033691406,13319300
2021-11-12,63.959999084472656,64.37000274658203,63.58000183105469,63.81999969482422,54.279273986816406,18158900
2021-11-15,63.7599983215332,64.7699966430664,63.220001220703125,64.37000274658203,54.74706268310547,18849200
2021-11-16,64.33999633789062,65.37000274658203,64.33999633789062,65.0199966430664,55.29987716674805,17028700
2021-11-17,64.37999725341797,65.23999786376953,64.18000030517578,64.30999755859375,54.696022033691406,15497000
2021-11-18,64.16000366210938,64.52999877929688,63.11000061035156,63.61000061035156,54.10067367553711,16948200
2021-11-19,61.88999938964844,62.029998779296875,60.40999984741211,60.66999816894531,51.60018539428711,32035500
2021-11-22,60.31999969482422,62.540000915527344,60.31999969482422,61.5099983215332,52.31460952758789,21994400
2021-11-23,62.189998626708984,63.380001068115234,61.91999816894531,63.130001068115234,53.69242858886719,21185900
2021-11-24,62.58000183105469,63.849998474121094,62.58000183105469,63.47999954223633,53.99009704589844,15869700
2021-11-26,60.52000045776367,61.41999816894531,59.540000915527344,61.25,52.093482971191406,24979600
2021-11-29,62.56999969482422,63.13999938964844,61.290000915527344,61.59000015258789,52.38264846801758,18946400
2021-11-30,60.459999084472656,61.189998626708984,59.65999984741211,59.84000015258789,50.89426040649414,34979800
2021-12-01,60.900001525878906,62.029998779296875,59.75,59.790000915527344,50.85173797607422,30630600
